iter	Passed	Remaining
0	10	20385
1	21	21348
2	30	20585
3	42	21000
4	53	21245
5	62	20895
6	73	20793
7	127	31843
8	137	30392
9	145	28973
10	155	28115
11	163	27166
12	171	26184
13	178	25362
14	186	24625
15	192	23849
16	199	23227
17	205	22671
18	212	22164
19	219	21706
20	225	21264
21	232	20921
22	239	20552
23	245	20206
24	253	19992
25	259	19707
26	266	19452
27	272	19194
28	279	18975
29	285	18755
30	291	18515
31	297	18309
32	304	18130
33	310	17945
34	316	17777
35	322	17603
36	328	17453
37	335	17324
38	341	17182
39	347	17051
40	354	16917
41	359	16774
42	366	16668
43	372	16541
44	378	16437
45	384	16325
46	390	16209
47	396	16125
48	402	16022
49	408	15915
50	414	15838
51	420	15742
52	425	15648
53	431	15566
54	437	15472
55	443	15391
56	449	15321
57	455	15241
58	461	15176
59	467	15108
60	473	15043
61	479	14990
62	485	14921
63	491	14855
64	497	14802
65	503	14742
66	508	14683
67	515	14636
68	519	14543
69	525	14498
70	531	14450
71	537	14402
72	544	14367
73	550	14317
74	555	14269
75	561	14227
76	568	14187
77	573	14140
78	581	14128
79	586	14082
80	592	14043
81	598	14000
82	604	13956
83	610	13918
84	616	13880
85	621	13839
86	627	13805
87	633	13766
88	639	13726
89	645	13691
90	650	13652
91	657	13629
92	662	13594
93	668	13556
94	674	13532
95	681	13507
96	686	13471
97	693	13452
98	699	13432
99	705	13405
100	711	13382
101	717	13351
102	723	13333
103	729	13303
104	735	13271
105	741	13245
106	746	13213
107	752	13181
108	758	13155
109	763	13126
110	769	13098
111	775	13080
112	781	13053
113	787	13033
114	793	13014
115	799	12988
116	805	12966
117	811	12942
118	816	12912
119	822	12888
120	828	12865
121	834	12846
122	840	12823
123	846	12799
124	851	12773
125	857	12760
126	863	12740
127	870	12730
128	876	12717
129	882	12696
130	888	12681
131	894	12660
132	900	12635
133	906	12620
134	911	12597
135	917	12574
136	923	12560
137	929	12538
138	935	12521
139	941	12505
140	947	12490
141	953	12471
142	959	12453
143	964	12436
144	971	12430
145	977	12413
146	983	12398
147	989	12387
148	995	12370
149	1002	12359
150	1007	12341
