annotation_id,annotator,comment,created_at,id,lead_time,rating,taxonomy,updated_at,Вопрос решен,Качество выполненной работы,Компетентность работника в общение,Не удовлетворен,Скорость выполненной работы,Скорость ответа работника после запроса
,,,,,,,,,,,,,,
31.0,1.0,спасибо,2025-05-09 19:15:44.417,2945792.0,2.665,5.0,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-09 19:15:44.417,,,,,,
,,,,,,,,,,,,,,
32.0,1.0,спасибо!,2025-05-09 19:15:47.352,3234340.0,2.09,5.0,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-09 19:15:47.352,,,,,,
,,,,,,,,,,,,,,
33.0,1.0,Отлично ,2025-05-09 19:15:51.239,3380332.0,3.126,5.0,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-09 19:15:51.239,,,,,,
,,,,,,,,,,,,,,
34.0,1.0,Благодарю за оперативное решение проблемы ! ,2025-05-09 19:15:54.868,3381812.0,2.768,5.0,"[{""taxonomy"":[[""Скорость выполненной работы""],[""Вопрос решен""]]}]",2025-05-09 19:15:54.868,,,,,,
,,,,,,,,,,,,,,
35.0,1.0,Прекрасный специалист! Побольше таких,2025-05-09 19:16:17.609,3461991.0,31.167,5.0,"[{""taxonomy"":[[""Качество выполненной работы""],[""Вопрос решен""],[""Качество работы сотрудника""]]}]",2025-05-10 15:46:20.786,,,,,,
,,,,,,,,,,,,,,
36.0,1.0,Спасибо ,2025-05-09 19:16:20.316,3551430.0,2.039,5.0,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-09 19:16:20.316,,,,,,
,,,,,,,,,,,,,,
37.0,1.0,"пересчет, и скорость _x000D__x000D_
",2025-05-09 19:17:12.225,3572768.0,12.684,1.0,"[{""taxonomy"":[[""Не удовлетворен""],[""Вопрос решен""],[""Не понравился результат""],[""Не понравилось качество""]]}]",2025-05-10 15:43:09.830,,,,,,
,,,,,,,,,,,,,,
38.0,1.0,Спасибо за обновление покраски стен,2025-05-09 19:17:19.944,3584536.0,7.263,5.0,"[{""taxonomy"":[[""Качество выполненной работы""],[""Вопрос решен""]]}]",2025-05-09 19:17:19.944,,,,,,
,,,,,,,,,,,,,,
39.0,1.0,выполнили быстро,2025-05-09 19:17:24.829,3596020.0,4.291,5.0,"[{""taxonomy"":[[""Скорость выполненной работы""],[""Вопрос решен""]]}]",2025-05-09 19:17:24.829,,,,,,
,,,,,,,,,,,,,,
40.0,1.0,Спасибо! ,2025-05-09 19:17:27.957,3617808.0,2.482,5.0,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-09 19:17:27.957,,,,,,
,,,,,,,,,,,,,,
41.0,1.0,спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку ,2025-05-09 19:18:00.202,3627490.0,34.831,5.0,"[{""taxonomy"":[[""Качество выполненной работы""],[""Вопрос решен""],[""Скорость ответа работника после запроса""],[""Качество работы сотрудника""]]}]",2025-05-10 15:46:32.009,,,,,,
,,,,,,,,,,,,,,
42.0,1.0,"спасибо _x000D__x000D_
",2025-05-09 19:18:08.878,3657819.0,7.842,5.0,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-09 19:18:08.878,,,,,,
,,,,,,,,,,,,,,
43.0,1.0,Спасибо ,2025-05-09 19:18:12.083,3691620.0,2.013,5.0,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-09 19:18:12.083,,,,,,
,,,,,,,,,,,,,,
44.0,1.0,Решили мой вопрос. Спасибо! ,2025-05-09 19:18:52.211,3695420.0,39.184,5.0,"[{""taxonomy"":[[""Вопрос решен""],[""Компетентность работника в общение""]]}]",2025-05-09 19:18:52.211,,,,,,
,,,,,,,,,,,,,,
45.0,1.0,Очень радует работа УК. Оперативно! Спасибо!,2025-05-09 19:18:59.624,3716702.0,6.579,5.0,"[{""taxonomy"":[[""Качество выполненной работы""],[""Скорость выполненной работы""],[""Вопрос решен""]]}]",2025-05-09 19:18:59.624,,,,,,
,,,,,,,,,,,,,,
46.0,1.0,Все исправили ,2025-05-09 19:19:02.824,3726842.0,2.148,5.0,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-09 19:19:02.824,,,,,,
,,,,,,,,,,,,,,
47.0,1.0,спасибо за оперативную работу ,2025-05-09 19:19:06.472,3745025.0,2.52,5.0,"[{""taxonomy"":[[""Скорость выполненной работы""],[""Вопрос решен""]]}]",2025-05-09 19:19:06.472,,,,,,
,,,,,,,,,,,,,,
48.0,1.0,"Выполнили отлично , обработка заявки была слишком дорогой ",2025-05-09 19:20:51.344,3749719.0,117.527,5.0,"[{""taxonomy"":[[""Вопрос решен""],[""Не удовлетворен""],[""Не понравилось качество""]]}]",2025-05-10 15:43:34.142,,,,,,
,,,,,,,,,,,,,,
49.0,1.0,спасибо большое! теперь не скрипят ,2025-05-09 19:20:55.735,3751364.0,3.624,5.0,"[{""taxonomy"":[[""Качество выполненной работы""],[""Вопрос решен""]]}]",2025-05-09 19:20:55.735,,,,,,
,,,,,,,,,,,,,,
50.0,1.0,спасибо,2025-05-09 19:20:58.204,3766183.0,1.646,5.0,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-09 19:20:58.204,,,,,,
,,,,,,,,,,,,,,
51.0,1.0,Спасибо!,2025-05-09 19:21:01.479,3770102.0,2.291,5.0,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-09 19:21:01.479,,,,,,
,,,,,,,,,,,,,,
52.0,1.0,Норм,2025-05-09 19:21:04.766,3773834.0,6.054,1.0,"[{""taxonomy"":[[""Вопрос решен""],[""Не понравилось качество""]]}]",2025-05-10 15:43:48.599,,,,,,
,,,,,,,,,,,,,,
53.0,1.0,спасибо. все прошло очень хорошо,2025-05-09 19:21:11.214,3791959.0,13.550999999999998,5.0,"[{""taxonomy"":[[""Вопрос решен""],[""Качество выполненной работы""]]}]",2025-05-09 19:21:20.627,,,,,,
