id,rating,comment,Нравится скорость отработки заявок,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Понравилось выполнение заявки,Вопрос решен
2945792,5,спасибо,,,,,
3234340,5,спасибо!,,,,,
3380332,5,Отлично ,,,,,
3381812,5,Благодарю за оперативное решение проблемы ! ,,,,,
3461991,5,Прекрасный специалист! Побольше таких,,,,,
3551430,5,Спасибо ,,,,,
3572768,1,"пересчет, и скорость 
",,,,,
3584536,5,Спасибо за обновление покраски стен,,,,,
3596020,5,выполнили быстро,,,,,
3617808,5,Спасибо! ,,,,,
3627490,5,спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку ,,,,,
3657819,5,"спасибо 
",,,,,
3691620,5,Спасибо ,,,,,
3695420,5,Решили мой вопрос. Спасибо! ,,,,,
3716702,5,Очень радует работа УК. Оперативно! Спасибо!,,,,,
3726842,5,Все исправили ,,,,,
3745025,5,спасибо за оперативную работу ,,,,,
3749719,5,"Выполнили отлично , обработка заявки была слишком дорогой ",,,,,
3751364,5,спасибо большое! теперь не скрипят ,,,,,
3766183,5,спасибо,,,,,
3770102,5,Спасибо!,,,,,
3773834,1,Норм,,,,,
3791959,5,спасибо. все прошло очень хорошо,,,,,
3797804,5,"Спасибо, пришли все поменяли за 10 минут ",,,,,
3799741,5,Все очень оперативно ,,,,,
3802024,5,Огромное спасибо.,,,,,
3805876,5,Все отлично! Спасибо.,,,,,
3812092,5,Хороший мастер,,,,,
3815412,5,"Спасибо за оперативность! 
",,,,,
3820641,5,"выполнена

",,,,,
3828569,5,"Все супер, Мастер 👍",,,,,
3829748,5,Благодарю ребят.,,,,,
3831509,5,Спасибо большое ,,,,,
3831883,5,спасибо,,,,,
3832952,5,Спасибо!,,,,,
3834081,5,"Проблема решена, ручки на окна поставили.
Спасибо за обратную связь!",,,,,
3835748,5,Благодарю за проделанную работу! ,,,,,
3835874,5,"надеюсь и причину устранили, а то после первого дождя будет тоже самое..",,,,,
3839647,5,"Спасибо, всё чётко.",,,,,
3840353,5,Благодарю ,,,,,
3841026,5,Спасибо Сергей ! )))),,,,,
3842440,5,"Михаил отличный мастер своего дела. Сделал быстро, чисто, дал рекомендации)",,,,,
3842790,5,хоть что то сделали 👍👏,,,,,
3843760,5,спасибо),,,,,
3844645,5,"профессионально, быстро. очень приятный мастер",,,,,
3846820,5,спасибо! ,,,,,
3846831,5,"Спасибо, вопрос решили, всё стало нормально ",,,,,
3848236,5,Татьяна Владимировна большое вам спасибо!!!! ,,,,,
3850021,5,спасибо! ,,,,,
3850118,1,"спасибо за  быстрый ответ! 


",,,,,
3852179,5,Огромное спасибо вам от всего подъезда!!!   ))))),,,,,
3852743,5,спасибо!),,,,,
3852975,5,спасибо ,,,,,
3854073,5,Все отлично ,,,,,
3856028,1,свершилось,,,,,
3859764,5,Спасибо мастеру ,,,,,
3859780,5,"спасибо, Вам, среагировали оперативно/быстро, а так же всё время были на связи🤝",,,,,
3860248,5,"Среагировали быстро, благодарю ",,,,,
3860900,5,Спасибо за оперативность!,,,,,
3862448,5,Отличный мастер!,,,,,
3863351,5,"Спасибо! По крайней мере, по ночам пока шума не слышно.",,,,,
3863609,5,Быстро ,,,,,
3866829,5,Спасибо за своевременное выполнение заявки...,,,,,
3866867,5,все сделали быстро. спасибо ,,,,,
3868883,5,всё отлично 👍,,,,,
3871379,5,Спасибо ,,,,,
3872124,5,"Большое спасибо Александру,за оперативность и профессионализм ",,,,,
3872129,5,благодарю ,,,,,
3873692,5,оперативно и качественно. спасибо ,,,,,
3874941,5,Спасибо!,,,,,
3875262,5,"благодарю, всего доброго!",,,,,
3876790,5,спасибо,,,,,
3876998,5,Спасибо ,,,,,
3877186,5,Спасибо большое! ,,,,,
3877315,5,Спасибо!,,,,,
3877334,3,К мастеру вопросов нет.  ,,,,,
3877901,5,"Мастер быстро решил проблему!Всё исправил,очень довольна!Спасибо!",,,,,
3878088,5,"вытяжка заработала - спасибо. отдельное спасибо мастеру, который сообщил, что нет причин, препятствующих подключению вытяжки к домовой вентиляции ",,,,,
3878555,5,спасибо большое! надолго ли🙄,,,,,
3878808,5,Огромное спасибо! ,,,,,
3879856,5,Всё очень четко организовано! Большое спасибо за работу!,,,,,
3880345,5,Спасибо Вам большое и за дверь и за номера квартир!,,,,,
3880717,3,снимаю звезду за первую отписку без выполнения работ,,,,,
3881004,5,"В день создания заявки , рабочие оперативно пришли и весь ужас убрали , огромная благодарность ! ",,,,,
3881432,5,Спасибо!,,,,,
3881460,5,Спасибо! Все заработало ,,,,,
