comment,id,rating,Вопрос решен,Качество выполненной работы,Компетентность работника в общение,Не удовлетворен,Скорость выполненной работы,Не понравился результат,Не понравилось качество
спасибо,2945792.0,5.0,1,0,0,0,0,0,0
спасибо!,3234340.0,5.0,1,0,0,0,0,0,0
Отлично ,3380332.0,5.0,1,0,0,0,0,0,0
Благодарю за оперативное решение проблемы ! ,3381812.0,5.0,1,0,0,0,1,0,0
Прекрасный специалист! Побольше таких,3461991.0,5.0,1,1,0,0,0,0,0
Спасибо ,3551430.0,5.0,1,0,0,0,0,0,0
"пересчет, и скорость _x000D__x000D_
",3572768.0,1.0,1,0,0,1,0,1,1
Спасибо за обновление покраски стен,3584536.0,5.0,1,1,0,0,0,0,0
выполнили быстро,3596020.0,5.0,1,0,0,0,1,0,0
Спасибо! ,3617808.0,5.0,1,0,0,0,0,0,0
спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку ,3627490.0,5.0,1,1,0,0,1,0,0
"спасибо _x000D__x000D_
",3657819.0,5.0,1,0,0,0,0,0,0
Решили мой вопрос. Спасибо! ,3695420.0,5.0,1,0,1,0,0,0,0
Очень радует работа УК. Оперативно! Спасибо!,3716702.0,5.0,1,1,0,0,1,0,0
Все исправили ,3726842.0,5.0,1,0,0,0,0,0,0
спасибо за оперативную работу ,3745025.0,5.0,1,0,0,0,1,0,0
"Выполнили отлично , обработка заявки была слишком дорогой ",3749719.0,5.0,1,0,0,1,0,0,1
спасибо большое! теперь не скрипят ,3751364.0,5.0,1,1,0,0,0,0,0
Спасибо!,3770102.0,5.0,1,0,0,0,0,0,0
Норм,3773834.0,1.0,1,0,0,0,0,0,1
спасибо. все прошло очень хорошо,3791959.0,5.0,1,1,0,0,0,0,0
"Спасибо, пришли все поменяли за 10 минут ",3797804.0,5.0,1,0,0,0,1,0,0
Все очень оперативно ,3799741.0,5.0,1,0,0,0,1,0,0
Огромное спасибо.,3802024.0,5.0,1,0,0,0,0,0,0
Все отлично! Спасибо.,3805876.0,5.0,1,0,0,0,0,0,0
Хороший мастер,3812092.0,5.0,1,0,0,0,0,0,0
"Спасибо за оперативность! _x000D__x000D_
",3815412.0,5.0,1,0,0,0,1,0,0
"выполнена_x000D__x000D_
_x000D__x000D_
",3820641.0,5.0,1,0,0,0,0,0,0
"Все супер, Мастер 👍",3828569.0,5.0,1,0,0,0,0,0,0
Благодарю ребят.,3829748.0,5.0,1,0,0,0,0,0,0
Спасибо большое ,3831509.0,5.0,1,0,0,0,0,0,0
"Проблема решена, ручки на окна поставили._x000D__x000D_
Спасибо за обратную связь!",3834081.0,5.0,1,1,0,0,0,0,0
Благодарю за проделанную работу! ,3835748.0,5.0,1,1,0,0,0,0,0
"надеюсь и причину устранили, а то после первого дождя будет тоже самое..",3835874.0,5.0,1,0,0,1,0,0,1
"Спасибо, всё чётко.",3839647.0,5.0,1,0,0,0,0,0,0
Благодарю ,3840353.0,5.0,1,0,0,0,0,0,0
Спасибо Сергей ! )))),3841026.0,5.0,1,0,0,0,0,0,0
"Михаил отличный мастер своего дела. Сделал быстро, чисто, дал рекомендации)",3842440.0,5.0,1,1,0,0,1,0,0
хоть что то сделали 👍👏,3842790.0,5.0,1,0,0,1,0,0,0
спасибо),3843760.0,5.0,1,0,0,0,0,0,0
"профессионально, быстро. очень приятный мастер",3844645.0,5.0,1,1,0,0,1,0,0
спасибо! ,3846820.0,5.0,1,0,0,0,0,0,0
"Спасибо, вопрос решили, всё стало нормально ",3846831.0,5.0,1,1,0,0,0,0,0
Татьяна Владимировна большое вам спасибо!!!! ,3848236.0,5.0,1,0,1,0,0,0,0
"спасибо за  быстрый ответ! _x000D__x000D_
_x000D__x000D_
_x000D__x000D_
",3850118.0,1.0,1,0,0,0,1,0,0
Огромное спасибо вам от всего подъезда!!!   ))))),3852179.0,5.0,1,1,0,0,0,0,0
спасибо!),3852743.0,5.0,1,0,0,0,0,0,0
спасибо ,3852975.0,5.0,1,0,0,0,0,0,0
Все отлично ,3854073.0,5.0,1,0,0,0,0,0,0
свершилось,3856028.0,1.0,1,0,0,1,0,0,0
Спасибо мастеру ,3859764.0,5.0,1,0,1,0,0,0,0
"спасибо, Вам, среагировали оперативно/быстро, а так же всё время были на связи🤝",3859780.0,5.0,1,0,1,0,1,0,0
"Среагировали быстро, благодарю ",3860248.0,5.0,1,0,0,0,1,0,0
Спасибо за оперативность!,3860900.0,5.0,1,0,0,0,1,0,0
Отличный мастер!,3862448.0,5.0,1,1,0,0,0,0,0
"Спасибо! По крайней мере, по ночам пока шума не слышно.",3863351.0,5.0,1,1,0,0,0,0,0
Быстро ,3863609.0,5.0,1,0,0,0,1,0,0
Спасибо за своевременное выполнение заявки...,3866829.0,5.0,1,0,0,0,1,0,0
все сделали быстро. спасибо ,3866867.0,5.0,1,0,0,0,1,0,0
всё отлично 👍,3868883.0,5.0,1,0,0,0,0,0,0
"Большое спасибо Александру,за оперативность и профессионализм ",3872124.0,5.0,1,1,0,0,1,0,0
благодарю ,3872129.0,5.0,1,0,0,0,0,0,0
оперативно и качественно. спасибо ,3873692.0,5.0,1,1,0,0,1,0,0
"благодарю, всего доброго!",3875262.0,5.0,1,0,0,0,0,0,0
Спасибо большое! ,3877186.0,5.0,1,0,0,0,0,0,0
К мастеру вопросов нет.  ,3877334.0,3.0,1,1,0,0,0,0,0
"Мастер быстро решил проблему!Всё исправил,очень довольна!Спасибо!",3877901.0,5.0,1,1,0,0,1,0,0
"вытяжка заработала - спасибо. отдельное спасибо мастеру, который сообщил, что нет причин, препятствующих подключению вытяжки к домовой вентиляции ",3878088.0,5.0,1,1,0,0,0,0,0
спасибо большое! надолго ли🙄,3878555.0,5.0,1,0,0,1,0,1,0
Огромное спасибо! ,3878808.0,5.0,1,0,0,0,0,0,0
Всё очень четко организовано! Большое спасибо за работу!,3879856.0,5.0,1,1,0,0,1,0,0
Спасибо Вам большое и за дверь и за номера квартир!,3880345.0,5.0,1,1,0,0,0,0,0
снимаю звезду за первую отписку без выполнения работ,3880717.0,3.0,1,0,0,1,0,1,0
