"annotation_id","annotator","comment","created_at","id","lead_time","rating","taxonomy","updated_at","Вопрос решен","Качество выполненной работы","Компетентность работника в общение ","Не удовлетворен","Скорость выполненной работы","Скорость ответа работника после запроса"
31,"1","спасибо","2025-05-09T16:15:44.417174Z",2945792,2.665,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-09T16:15:44.417174Z","","","","","",""
32,"1","спасибо!","2025-05-09T16:15:47.352892Z",3234340,2.09,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-09T16:15:47.352892Z","","","","","",""
33,"1","Отлично ","2025-05-09T16:15:51.239070Z",3380332,3.126,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-09T16:15:51.239070Z","","","","","",""
34,"1","Благодарю за оперативное решение проблемы ! ","2025-05-09T16:15:54.868587Z",3381812,2.768,5,"[{""taxonomy"":[[""Скорость выполненной работы""],[""Вопрос решен""]]}]","2025-05-09T16:15:54.868587Z","","","","","",""
35,"1","Прекрасный специалист! Побольше таких","2025-05-09T16:16:17.609602Z",3461991,31.166999999999998,5,"[{""taxonomy"":[[""Качество выполненной работы""],[""Вопрос решен""],[""Качество работы сотрудника""]]}]","2025-05-10T12:46:20.786563Z","","","","","",""
36,"1","Спасибо ","2025-05-09T16:16:20.316855Z",3551430,2.039,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-09T16:16:20.316855Z","","","","","",""
37,"1","пересчет, и скорость _x000D_
","2025-05-09T16:17:12.225875Z",3572768,12.684000000000001,1,"[{""taxonomy"":[[""Не удовлетворен""],[""Вопрос решен""],[""Не понравился результат""],[""Не понравилось качество""]]}]","2025-05-10T12:43:09.830158Z","","","","","",""
38,"1","Спасибо за обновление покраски стен","2025-05-09T16:17:19.944972Z",3584536,7.263,5,"[{""taxonomy"":[[""Качество выполненной работы""],[""Вопрос решен""]]}]","2025-05-09T16:17:19.944972Z","","","","","",""
39,"1","выполнили быстро","2025-05-09T16:17:24.829796Z",3596020,4.291,5,"[{""taxonomy"":[[""Скорость выполненной работы""],[""Вопрос решен""]]}]","2025-05-09T16:17:24.829796Z","","","","","",""
40,"1","Спасибо! ","2025-05-09T16:17:27.957696Z",3617808,2.482,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-09T16:17:27.957696Z","","","","","",""
41,"1","спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку ","2025-05-09T16:18:00.202839Z",3627490,34.830999999999996,5,"[{""taxonomy"":[[""Качество выполненной работы""],[""Вопрос решен""],[""Скорость ответа работника после запроса""],[""Качество работы сотрудника""]]}]","2025-05-10T12:46:32.009605Z","","","","","",""
42,"1","спасибо _x000D_
","2025-05-09T16:18:08.878593Z",3657819,7.842,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-09T16:18:08.878593Z","","","","","",""
43,"1","Спасибо ","2025-05-09T16:18:12.083813Z",3691620,2.013,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-09T16:18:12.083813Z","","","","","",""
44,"1","Решили мой вопрос. Спасибо! ","2025-05-09T16:18:52.211706Z",3695420,39.184,5,"[{""taxonomy"":[[""Вопрос решен""],[""Компетентность работника в общение""]]}]","2025-05-09T16:18:52.211706Z","","","","","",""
45,"1","Очень радует работа УК. Оперативно! Спасибо!","2025-05-09T16:18:59.624511Z",3716702,6.579,5,"[{""taxonomy"":[[""Качество выполненной работы""],[""Скорость выполненной работы""],[""Вопрос решен""]]}]","2025-05-09T16:18:59.624511Z","","","","","",""
46,"1","Все исправили ","2025-05-09T16:19:02.824086Z",3726842,2.148,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-09T16:19:02.824086Z","","","","","",""
47,"1","спасибо за оперативную работу ","2025-05-09T16:19:06.472693Z",3745025,2.52,5,"[{""taxonomy"":[[""Скорость выполненной работы""],[""Вопрос решен""]]}]","2025-05-09T16:19:06.472693Z","","","","","",""
48,"1","Выполнили отлично , обработка заявки была слишком дорогой ","2025-05-09T16:20:51.344128Z",3749719,117.52699999999999,5,"[{""taxonomy"":[[""Вопрос решен""],[""Не удовлетворен""],[""Не понравилось качество""]]}]","2025-05-10T12:43:34.142135Z","","","","","",""
49,"1","спасибо большое! теперь не скрипят ","2025-05-09T16:20:55.735234Z",3751364,3.624,5,"[{""taxonomy"":[[""Качество выполненной работы""],[""Вопрос решен""]]}]","2025-05-09T16:20:55.735234Z","","","","","",""
50,"1","спасибо","2025-05-09T16:20:58.204406Z",3766183,1.646,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-09T16:20:58.204406Z","","","","","",""
51,"1","Спасибо!","2025-05-09T16:21:01.479743Z",3770102,2.291,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-09T16:21:01.479743Z","","","","","",""
52,"1","Норм","2025-05-09T16:21:04.766191Z",3773834,6.054,1,"[{""taxonomy"":[[""Вопрос решен""],[""Не понравилось качество""]]}]","2025-05-10T12:43:48.599679Z","","","","","",""
53,"1","спасибо. все прошло очень хорошо","2025-05-09T16:21:11.214094Z",3791959,13.550999999999998,5,"[{""taxonomy"":[[""Вопрос решен""],[""Качество выполненной работы""]]}]","2025-05-09T16:21:20.627880Z","","","","","",""
54,"1","Спасибо, пришли все поменяли за 10 минут ","2025-05-09T16:21:36.595787Z",3797804,15.3,5,"[{""taxonomy"":[[""Скорость выполненной работы""],[""Вопрос решен""]]}]","2025-05-09T16:21:36.595787Z","","","","","",""
55,"1","Все очень оперативно ","2025-05-09T16:21:40.619863Z",3799741,3.044,5,"[{""taxonomy"":[[""Скорость выполненной работы""],[""Вопрос решен""]]}]","2025-05-09T16:21:40.619863Z","","","","","",""
56,"1","Огромное спасибо.","2025-05-09T16:21:43.430419Z",3802024,1.732,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-09T16:21:43.430419Z","","","","","",""
57,"1","Все отлично! Спасибо.","2025-05-09T16:21:46.001463Z",3805876,1.916,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-09T16:21:46.001463Z","","","","","",""
58,"1","Хороший мастер","2025-05-09T16:21:55.540348Z",3812092,12.696000000000002,5,"[{""taxonomy"":[[""Вопрос решен""],[""Качество работы сотрудника""]]}]","2025-05-10T12:46:47.179219Z","","","","","",""
59,"1","Спасибо за оперативность! _x000D_
","2025-05-09T16:21:59.062813Z",3815412,2.683,5,"[{""taxonomy"":[[""Скорость выполненной работы""],[""Вопрос решен""]]}]","2025-05-09T16:21:59.062813Z","","","","","",""
60,"1","выполнена_x000D_
_x000D_
","2025-05-09T16:22:01.462638Z",3820641,1.851,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-09T16:22:01.462638Z","","","","","",""
61,"1","Все супер, Мастер 👍","2025-05-09T16:22:05.230168Z",3828569,5.792,5,"[{""taxonomy"":[[""Вопрос решен""],[""Качество работы сотрудника""]]}]","2025-05-10T12:46:52.744063Z","","","","","",""
62,"1","Благодарю ребят.","2025-05-09T16:22:08.284990Z",3829748,10.654,5,"[{""taxonomy"":[[""Вопрос решен""],[""Качество работы сотрудника""]]}]","2025-05-10T12:47:04.237087Z","","","","","",""
63,"1","Спасибо большое ","2025-05-09T16:22:10.810654Z",3831509,1.562,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-09T16:22:10.810654Z","","","","","",""
64,"1","спасибо","2025-05-09T16:22:14.854016Z",3831883,3.213,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-09T16:22:14.854016Z","","","","","",""
